E001	rich	colour-and-terminal-detection	confirmed	Does NO_COLOR strip colour even from an explicitly forced truecolor Console?	render('[bold red]hi[/] plain', env={'NO_COLOR': '1'}, force_terminal=True, color_system='truecolor')	absent:31m	contains:31m	-	ansi	2a70c88526bd	probes/captures/E001.ansi.txt
E002	rich	colour-and-terminal-detection	confirmed	Is an EMPTY NO_COLOR ignored rather than treated as set?	render('[bold red]hi[/] plain', env={'NO_COLOR': ''}, force_terminal=True, color_system='truecolor')	contains:31m	absent:31m	-	ansi	cc6e71ed5bd1	probes/captures/E002.ansi.txt
E003	rich	width-and-wrapping	confirmed	Does TERM=dumb override a width passed explicitly to the constructor?	Console(file=io.StringIO(), width=40, force_terminal=True, legacy_windows=False).width	ok	ok	-	-	48449a14a4ff	-
E004	rich	width-and-wrapping	recorded	Does Console(_environ=...) isolate COLUMNS where the process environment does not?	[Console(file=io.StringIO(), _environ={}).width, Console(file=io.StringIO()).width]	ok	-	-	-	0af6212a5245	-
E005	rich	width-and-wrapping	confirmed	Does UNICODE_VERSION change how wide a character is measured to be?	cell_len('\u231a')	ok	ok	-	-	6b86b273ff34	-
M001	rich	markup-and-escaping	confirmed	Does Console.print silently DELETE a bracketed word that is not a style?	render('status [ok] done')	absent:[ok]	contains:[ok]	-	plain	ffb957db6500	probes/captures/M001.txt
M002	rich	markup-and-escaping	recorded	Which bracketed forms survive markup parsing and which are eaten?	{s: render('v ' + s + ' w').strip() for s in ['[path]', '[key=value]', '[a b]', '[x]', '[FILE]', '[1-9]', '[--flag]', '[0]']}	ok	-	-	plain	f2a261337466	probes/captures/M002.txt
M003	rich	markup-and-escaping	confirmed	Does rich.markup.escape make a bracketed word survive?	render('v ' + escape('[path]') + ' w')	contains:[path]	absent:[path]	-	-	da769981d52b	-
M004	rich	markup-and-escaping	confirmed	Does a stray closing tag raise rather than being dropped?	'MarkupError: ' + str(e)[:60]	contains:MarkupError	ok	-	-	b1020180ffa2	-
O001	both	printing-and-styling	confirmed	Do typer.echo and Console.print treat the same string differently?	b.getvalue()	contains:[path]	absent:[path]	-	plain	5a7783ef4eff	probes/captures/O001.txt
O002	both	printing-and-styling	confirmed	Do typer.style and rich Style emit different bytes for the same intent?	typer.style('hi', fg=typer.colors.RED, bold=True)	ansi	ansi	-	ansi	4ec5ced0e20d	probes/captures/O002.ansi.txt
R001	rich	layout-and-tables	confirmed	What does a Table actually look like at a pinned width?	render(t, width=40)	ok	ok	-	plain	27f183bcbec9	probes/captures/R001.txt
R002	rich	errors-and-tracebacks	confirmed	Does a rendered Traceback carry absolute source paths?	render(Traceback(show_locals=False, width=60), width=60)	contains:ZeroDivisionError	contains:locals	home,path,address	plain	6f04d7d49345	probes/captures/R002.txt
R003	rich	progress-and-liveness	recorded	Is a disabled Progress a clean no-op, given animation is refused?	c._probe_buffer.getvalue()	ok	-	-	-	e3b0c44298fc	-
T001	typer	help-rendering	confirmed	Does a help string lose bracketed text under the default rich_markup_mode?	[l for l in cli(app, ['--help']).splitlines() if 'give a' in l]	absent:[path]	contains:[path]	-	plain	abf9d07017a5	probes/captures/T001.txt
T002	typer	help-rendering	confirmed	How does an Annotated argument render in --help at 0.27.2?	cli(app, ['--help'])	contains:<str>	contains:<int>	-	plain	f1353719015b	probes/captures/T002.txt
V001	rich	version-truth	confirmed	Does `from rich import Console` raise at runtime, though type checkers accept it?	type(e).__name__ + ': ' + str(e).split(' (')[0]	contains:ImportError	contains:imported	-	-	9bae0149e549	-
V002	rich	version-truth	confirmed	Does rich.__version__ exist at 15.0.0?	'AttributeError: ' + str(e)[:60]	contains:AttributeError	contains:0.27.2	-	-	22bcc75c4972	-
V003	click	vendored-click	confirmed	Does the command Typer hands back descend from its OWN vendored Click?	[c.__module__ + '.' + c.__name__ for c in type(cmd).__mro__]	contains:typer._click.core.Command	contains:not installed	-	plain	0d2c091af251	probes/captures/V003.txt
