ruff	analyze.detect-string-imports	bool	false	-	Whether to detect imports from string literals. When enabled, Ruff will search for string literals that "look like" import paths, and include them in the import map, if they resolve to valid Python modules.
ruff	analyze.direction	"dependents" | "dependencies"	"dependencies"	-	Whether to generate a map from file to files that it depends on (dependencies) or files that depend on it (dependents).
ruff	analyze.exclude	list[str]	[]	-	A list of file patterns to exclude from analysis in addition to the files excluded globally (see [`exclude`](#exclude), and [`extend-exclude`](#extend-exclude)).  Exclusions are based on globs, and can be either:  - Single-path patterns, like `.mypy_cache` (to exclude any directory   named `.mypy_ca
ruff	analyze.include-dependencies	dict[str, list[str]]	{}	-	A map from file path to the list of Python or non-Python file paths or globs that should be considered dependencies of that file, regardless of whether relevant imports are detected.
ruff	analyze.preview	bool	false	-	Whether to enable preview mode. When preview mode is enabled, Ruff will expose unstable commands.
ruff	analyze.string-imports-min-dots	usize	2	-	The minimum number of dots in a string to consider it a valid import.  This setting is only relevant when [`detect-string-imports`](#detect-string-imports) is enabled. For example, if this is set to `2`, then only strings with at least two dots (e.g., `"path.to.module"`) would be considered valid im
ruff	analyze.type-checking-imports	bool	true	-	Whether to include imports that are only used for type checking (i.e., imports within `if TYPE_CHECKING:` blocks). When enabled (default), type-checking-only imports are included in the import graph. When disabled, they are excluded.
ruff	builtins	list[str]	[]	-	A list of builtins to treat as defined references, in addition to the system builtins.
ruff	cache-dir	str	".ruff_cache"	-	A path to the cache directory.  By default, Ruff stores cache results in a `.ruff_cache` directory in the current project root.  However, Ruff will also respect the `RUFF_CACHE_DIR` environment variable, which takes precedence over that default.  This setting will override even the `RUFF_CACHE_DIR` 
ruff	exclude	list[str]	[".bzr", ".direnv", ".eggs", ".git", ".git-rewrite", ".hg", ".mypy_cache", ".nox", ".pants.d", ".pytype", ".ruff_cache", ".svn", ".tox", ".venv", "__pypackages__", "_build", "buck-out", "dist", "node_modules", "venv"]	-	A list of file patterns to exclude from formatting and linting.  Exclusions are based on globs, and can be either:  - Single-path patterns, like `.mypy_cache` (to exclude any directory   named `.mypy_cache` in the tree), `foo.py` (to exclude any file named   `foo.py`), or `foo_*.py` (to exclude any 
ruff	extend	str	null	-	A path to a local `pyproject.toml` or `ruff.toml` file to merge into this configuration. User home directory and environment variables will be expanded.  To resolve the current configuration file, Ruff will first load this base configuration file, then merge in properties defined in the current conf
